clip,preictal
Dog_3_test_segment_0004.mat,0.0163188759151
Dog_4_test_segment_0513.mat,0.00354892274079
Dog_3_test_segment_0092.mat,0.0357681808458
Dog_2_test_segment_0422.mat,0.0157409124055
Patient_2_test_segment_0069.mat,0.533347395722
Dog_2_test_segment_0252.mat,0.0397640627025
Dog_1_test_segment_0486.mat,0.00962392496653
Dog_4_test_segment_0891.mat,0.205599353916
Dog_3_test_segment_0089.mat,0.0166897321028
Dog_2_test_segment_0672.mat,0.0190792321948
Dog_3_test_segment_0379.mat,0.0728516564959
Dog_3_test_segment_0899.mat,0.0173459681535
Dog_2_test_segment_0906.mat,0.0038467799785
Dog_2_test_segment_0022.mat,0.469933292056
Dog_1_test_segment_0228.mat,0.0571835758145
Dog_2_test_segment_0572.mat,0.00258105677874
Dog_3_test_segment_0222.mat,0.0580829096906
Dog_1_test_segment_0425.mat,0.048288280025
Dog_3_test_segment_0357.mat,0.0159478053137
Dog_2_test_segment_0014.mat,0.0178651792777
Dog_4_test_segment_0718.mat,0.0080210507168
Dog_3_test_segment_0038.mat,0.0570264013982
Dog_2_test_segment_0949.mat,0.00703623638994
Dog_3_test_segment_0902.mat,0.0164925040205
Dog_2_test_segment_0986.mat,0.0720701905343
Dog_4_test_segment_0127.mat,0.0157225808689
Dog_3_test_segment_0085.mat,0.0570741715381
Dog_3_test_segment_0630.mat,0.0162534372861
Dog_4_test_segment_0445.mat,0.0064773261908
Dog_2_test_segment_0276.mat,0.00670556950333
Dog_3_test_segment_0055.mat,0.133890606006
Dog_3_test_segment_0660.mat,0.0369924678495
Dog_2_test_segment_0581.mat,0.00422030781025
Dog_2_test_segment_0925.mat,0.00806981301417
Dog_5_test_segment_0176.mat,0.011893106248
Dog_1_test_segment_0051.mat,0.0624038202329
Dog_4_test_segment_0732.mat,0.041948452161
Dog_3_test_segment_0125.mat,0.0274994235149
Dog_2_test_segment_0179.mat,0.0690306544636
Dog_1_test_segment_0266.mat,0.0113136718134
Dog_1_test_segment_0252.mat,0.0798909219652
Dog_3_test_segment_0450.mat,0.0169603053924
Dog_2_test_segment_0869.mat,0.0205017135323
Dog_4_test_segment_0664.mat,0.0103052107452
Dog_1_test_segment_0277.mat,0.0069482795636
Dog_2_test_segment_0733.mat,0.00977760754397
Dog_1_test_segment_0359.mat,0.196505528843
Dog_1_test_segment_0187.mat,0.0486269327066
Dog_2_test_segment_0790.mat,0.0104441635439
Dog_2_test_segment_0885.mat,0.0350925315046
Dog_3_test_segment_0483.mat,0.0190736992707
Dog_5_test_segment_0094.mat,0.000957744421216
Dog_4_test_segment_0228.mat,0.0141682243065
Dog_1_test_segment_0009.mat,0.0212100172111
Dog_2_test_segment_0199.mat,0.125359414154
Dog_4_test_segment_0382.mat,0.0063687022933
Patient_1_test_segment_0047.mat,0.91904302647
Dog_4_test_segment_0809.mat,0.012210152974
Dog_3_test_segment_0228.mat,0.105646399264
Dog_2_test_segment_0160.mat,0.00345976699879
Dog_4_test_segment_0942.mat,0.000527290463601
Dog_3_test_segment_0601.mat,0.105327550135
Dog_2_test_segment_0593.mat,0.0286402126503
Dog_3_test_segment_0795.mat,0.0157977127582
Patient_1_test_segment_0106.mat,0.820743175799
Dog_3_test_segment_0586.mat,0.0469182853407
Dog_3_test_segment_0107.mat,0.0163504695942
Dog_1_test_segment_0374.mat,0.0122920420547
Dog_4_test_segment_0493.mat,0.00297970589681
Dog_5_test_segment_0046.mat,0.0123249941827
Patient_1_test_segment_0150.mat,0.949713645708
Dog_1_test_segment_0307.mat,0.0394813434104
Dog_1_test_segment_0345.mat,0.447986141547
Dog_4_test_segment_0148.mat,0.00262064958692
Dog_4_test_segment_0901.mat,0.0156187873264
Dog_3_test_segment_0602.mat,0.0163086802775
Dog_3_test_segment_0177.mat,0.0542898060747
Dog_3_test_segment_0723.mat,0.017805254782
Dog_5_test_segment_0085.mat,0.0152741649548
Dog_2_test_segment_0917.mat,0.0120023094402
Patient_1_test_segment_0051.mat,0.92132725996
Dog_4_test_segment_0929.mat,0.0346938688173
Dog_2_test_segment_0369.mat,0.0110393200066
Dog_2_test_segment_0342.mat,0.00598865229415
Dog_3_test_segment_0889.mat,0.0175848898411
Dog_2_test_segment_0204.mat,0.00886210956082
Dog_4_test_segment_0343.mat,0.00177196312456
Dog_2_test_segment_0076.mat,0.250955289295
Dog_3_test_segment_0643.mat,0.016047690875
Dog_5_test_segment_0087.mat,0.0122534883549
Dog_4_test_segment_0409.mat,0.000276011110445
Dog_2_test_segment_0989.mat,0.0287360670807
Dog_1_test_segment_0137.mat,0.00534444190391
Dog_2_test_segment_0070.mat,0.00779620237002
Dog_3_test_segment_0338.mat,0.0160660940619
Dog_4_test_segment_0735.mat,0.00142589589568
Patient_2_test_segment_0148.mat,0.50922328412
Dog_3_test_segment_0713.mat,0.0850548204866
Dog_3_test_segment_0014.mat,0.0184073375003
Patient_2_test_segment_0090.mat,0.554186577483
Dog_2_test_segment_0590.mat,0.0163803341113
Dog_3_test_segment_0143.mat,0.0288160509431
Dog_3_test_segment_0558.mat,0.0157105464735
Dog_2_test_segment_0279.mat,0.00291674145616
Dog_2_test_segment_0203.mat,0.0223948172975
Dog_4_test_segment_0628.mat,0.00250889868076
Patient_1_test_segment_0079.mat,0.126007954813
Dog_3_test_segment_0517.mat,0.0163073705435
Dog_4_test_segment_0724.mat,0.0133587531726
Dog_4_test_segment_0801.mat,0.0768657408862
Dog_2_test_segment_0789.mat,0.0150819491485
Dog_4_test_segment_0869.mat,0.00638308836866
Dog_3_test_segment_0057.mat,0.120986197268
Dog_4_test_segment_0388.mat,0.00519550827768
Dog_2_test_segment_0365.mat,0.0355155788066
Dog_2_test_segment_0206.mat,0.0232169971185
Dog_2_test_segment_0559.mat,0.0371490688039
Dog_1_test_segment_0003.mat,0.00538679975891
Dog_4_test_segment_0591.mat,0.831910250038
Dog_4_test_segment_0101.mat,0.000640240579446
Dog_3_test_segment_0420.mat,0.0529726133769
Dog_3_test_segment_0115.mat,0.0158451992198
Dog_3_test_segment_0629.mat,0.0482898132694
Dog_3_test_segment_0734.mat,0.0185152429871
Dog_2_test_segment_0518.mat,0.0293406795865
Dog_4_test_segment_0341.mat,0.0314611514936
Dog_1_test_segment_0386.mat,0.20219036375
Dog_3_test_segment_0096.mat,0.0173659872186
Dog_4_test_segment_0755.mat,0.000377135306995
Dog_2_test_segment_0275.mat,0.00412314200458
