clip,preictal
Dog_3_test_segment_0004.mat,0.0014054687478759502
Dog_4_test_segment_0513.mat,0.00225659884321235
Dog_3_test_segment_0092.mat,0.0156593710598584
Dog_2_test_segment_0422.mat,0.005305384628439
Patient_2_test_segment_0069.mat,0.51010191977545
Dog_2_test_segment_0252.mat,0.023407033436635003
Dog_1_test_segment_0486.mat,0.0046907305827434
Dog_4_test_segment_0891.mat,0.16398791244316502
Dog_3_test_segment_0089.mat,0.0014320754750565498
Dog_2_test_segment_0672.mat,0.0059032113892804996
Dog_3_test_segment_0379.mat,0.0197837886956289
Dog_3_test_segment_0899.mat,0.0016196768245105
Dog_2_test_segment_0906.mat,0.0011844816939471999
Dog_2_test_segment_0022.mat,0.5075456261686
Dog_1_test_segment_0228.mat,0.033726568043999997
Dog_2_test_segment_0572.mat,0.00059546084790395
Dog_3_test_segment_0222.mat,0.012872538293137996
Dog_1_test_segment_0425.mat,0.022833048435014998
Dog_3_test_segment_0357.mat,0.0014148855693277
Dog_2_test_segment_0014.mat,0.0052059641226895
Dog_4_test_segment_0718.mat,0.00042767842637038005
Dog_3_test_segment_0038.mat,0.0092339021915219
Dog_2_test_segment_0949.mat,0.0008804533910499
Dog_3_test_segment_0902.mat,0.0029366644659744503
Dog_2_test_segment_0986.mat,0.02401819157247
Dog_4_test_segment_0127.mat,0.003498329555811
Dog_3_test_segment_0085.mat,0.022782825382208
Dog_3_test_segment_0630.mat,0.0014234504087786998
Dog_4_test_segment_0445.mat,0.0003521489626376
Dog_2_test_segment_0276.mat,0.0020110110489139003
Dog_3_test_segment_0055.mat,0.06598720828002799
Dog_3_test_segment_0660.mat,0.0012991273020276002
Dog_2_test_segment_0581.mat,0.0022479427536270997
Dog_2_test_segment_0925.mat,0.0025070937741705
Dog_5_test_segment_0176.mat,0.006824661778652
Dog_1_test_segment_0051.mat,0.023601835739115
Dog_4_test_segment_0732.mat,0.0263170630396988
Dog_3_test_segment_0125.mat,0.0022477820270946003
Dog_2_test_segment_0179.mat,0.042718751034745
Dog_1_test_segment_0266.mat,0.0044289468694828
Dog_1_test_segment_0252.mat,0.08099591406889502
Dog_3_test_segment_0450.mat,0.0014063789901566047
Dog_2_test_segment_0869.mat,0.018398672871655
Dog_4_test_segment_0664.mat,0.0035160629364447502
Dog_1_test_segment_0277.mat,0.00375576245404265
Dog_2_test_segment_0733.mat,0.0007197226625713
Dog_1_test_segment_0359.mat,0.16080093085184
Dog_1_test_segment_0187.mat,0.024882272167654998
Dog_2_test_segment_0790.mat,0.0035380184509779997
Dog_2_test_segment_0885.mat,0.0120022186603055
Dog_3_test_segment_0483.mat,0.0009846642285314
Dog_5_test_segment_0094.mat,0.00044427478690299994
Dog_4_test_segment_0228.mat,0.00098484942426585
Dog_1_test_segment_0009.mat,0.0107221733729316
Dog_2_test_segment_0199.mat,0.071562740556564
Dog_4_test_segment_0382.mat,0.005234176630905649
Patient_1_test_segment_0047.mat,0.9463864244844999
Dog_4_test_segment_0809.mat,0.006154501781597499
Dog_3_test_segment_0228.mat,0.06947139546853451
Dog_2_test_segment_0160.mat,0.002560023231133
Dog_4_test_segment_0942.mat,0.00011649582583885001
Dog_3_test_segment_0601.mat,0.0302989933886935
Dog_2_test_segment_0593.mat,0.015436705881956201
